Primary Class,Secondary Class,Top1_score,Top2_score,margin_12,Reasoning
16,14,0.06537212431430817,0.06535492092370987,1.720339059829712e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.065), 14 Material - Evaluation / Characterization (0.065), 51 Book / Book - chapter (0.063)"
15,50,0.053320903331041336,0.0532953180372715,2.5585293769836426e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 15 Material - Manipulation, Droplets, other (0.053), 50 Review - Survey (0.053), 16 Material - Handling of (0.052)"
37,41,0.06797759979963303,0.06791098415851593,6.661564111709595e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 37 Experimentation - Other than evaluation indicated in class 14 above (0.068), 41 Application - Medical (Pharmaceutical) (0.068), 14 Material - Evaluation / Characterization (0.057)"
13,50,0.061450373381376266,0.06129870191216469,0.00015167146921157837,"Abstract-only zero-shot classification. Top-3 labels by score: 13 Material - Properties (0.061), 50 Review - Survey (0.061), 16 Material - Handling of (0.057)"
16,14,0.07194425910711288,0.07173307985067368,0.00021117925643920898,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.072), 14 Material - Evaluation / Characterization (0.072), 13 Material - Properties (0.064)"
16,50,0.06058716028928757,0.060353051871061325,0.00023410841822624207,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.061), 50 Review - Survey (0.060), 13 Material - Properties (0.047)"
50,28,0.06324825435876846,0.06292637437582016,0.0003218799829483032,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.063), 28 Computation - Stability and other (0.063), 51 Book / Book - chapter (0.058)"
16,50,0.062000907957553864,0.06165555492043495,0.00034535303711891174,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.062), 50 Review - Survey (0.062), 51 Book / Book - chapter (0.057)"
24,49,0.036287855356931686,0.03590698167681694,0.0003808736801147461,"Abstract-only zero-shot classification. Top-3 labels by score: 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.036), 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.036), 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.035)"
24,15,0.03871668875217438,0.0383325032889843,0.00038418546319007874,"Abstract-only zero-shot classification. Top-3 labels by score: 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.039), 15 Material - Manipulation, Droplets, other (0.038), 47 Application - Bearing, Seal, Lubricant (0.038)"
49,24,0.036255259066820145,0.03586983680725098,0.0003854222595691681,"Abstract-only zero-shot classification. Top-3 labels by score: 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.036), 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.036), 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.035)"
37,49,0.047272440046072006,0.04688428342342377,0.00038815662264823914,"Abstract-only zero-shot classification. Top-3 labels by score: 37 Experimentation - Other than evaluation indicated in class 14 above (0.047), 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.047), 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.043)"
49,37,0.042601436376571655,0.042212191969156265,0.00038924440741539,"Abstract-only zero-shot classification. Top-3 labels by score: 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.043), 37 Experimentation - Other than evaluation indicated in class 14 above (0.042), 27 Computation - Modelling (0.042)"
28,11,0.0494389571249485,0.04904918372631073,0.0003897733986377716,"Abstract-only zero-shot classification. Top-3 labels by score: 28 Computation - Stability and other (0.049), 11 Material - Chemistry (0.049), 44 Application - Geology, Oil-field recovery (0.043)"
49,40,0.0353858545422554,0.034995757043361664,0.0003900974988937378,"Abstract-only zero-shot classification. Top-3 labels by score: 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.035), 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.035), 41 Application - Medical (Pharmaceutical) (0.035)"
51,28,0.038323674350976944,0.03793305903673172,0.000390615314245224,"Abstract-only zero-shot classification. Top-3 labels by score: 51 Book / Book - chapter (0.038), 28 Computation - Stability and other (0.038), 23 Computation - MATLAB (0.037)"
48,15,0.03900422155857086,0.038613349199295044,0.00039087235927581787,"Abstract-only zero-shot classification. Top-3 labels by score: 48 Application - Levitation, Spin of droplets (0.039), 15 Material - Manipulation, Droplets, other (0.039), 29 Computation - Magnetic Droplets, Spin of droplet (0.039)"
49,28,0.04503873735666275,0.04464665427803993,0.000392083078622818,"Abstract-only zero-shot classification. Top-3 labels by score: 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.045), 28 Computation - Stability and other (0.045), 23 Computation - MATLAB (0.042)"
26,21,0.04238010197877884,0.04198511317372322,0.0003949888050556183,"Abstract-only zero-shot classification. Top-3 labels by score: 26 Computation - Heat (0.042), 21 Computation - FEA (0.042), 22 Computation - CFD (0.042)"
23,29,0.03556413576006889,0.03516089916229248,0.00040323659777641296,"Abstract-only zero-shot classification. Top-3 labels by score: 23 Computation - MATLAB (0.036), 29 Computation - Magnetic Droplets, Spin of droplet (0.035), 22 Computation - CFD (0.035)"
37,41,0.04085390642285347,0.040450289845466614,0.0004036165773868561,"Abstract-only zero-shot classification. Top-3 labels by score: 37 Experimentation - Other than evaluation indicated in class 14 above (0.041), 41 Application - Medical (Pharmaceutical) (0.040), 39 Application - Medical Robotic Surgery (0.039)"
28,15,0.04168330505490303,0.041277315467596054,0.0004059895873069763,"Abstract-only zero-shot classification. Top-3 labels by score: 28 Computation - Stability and other (0.042), 15 Material - Manipulation, Droplets, other (0.041), 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.040)"
47,24,0.03483729809522629,0.03442833572626114,0.0004089623689651489,"Abstract-only zero-shot classification. Top-3 labels by score: 47 Application - Bearing, Seal, Lubricant (0.035), 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.034), 11 Material - Chemistry (0.034)"
24,49,0.042856745421886444,0.04244499281048775,0.0004117526113986969,"Abstract-only zero-shot classification. Top-3 labels by score: 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.043), 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.042), 47 Application - Bearing, Seal, Lubricant (0.038)"
49,42,0.04382266476750374,0.04340699315071106,0.00041567161679267883,"Abstract-only zero-shot classification. Top-3 labels by score: 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.044), 42 Application - Biomedical (0.043), 51 Book / Book - chapter (0.040)"
