Primary Major Class,Secondary Major Class,Primary Major Score,Secondary Major Score,margin_12
3,2,0.3711099624633789,0.371094286441803,1.5676021575927734e-05
2,1,0.2536456882953644,0.25361189246177673,3.3795833587646484e-05
2,1,0.2116616815328598,0.21162082254886627,4.0858983993530273e-05
4,2,0.3014806807041168,0.3013766407966614,0.00010403990745544434
5,3,0.2163168340921402,0.2162126898765564,0.00010414421558380127
3,2,0.2016495317220688,0.20152108371257782,0.0001284480094909668
5,3,0.21941569447517395,0.21928441524505615,0.00013127923011779785
2,4,0.20576123893260956,0.20559783279895782,0.0001634061336517334
3,2,0.4057615399360657,0.40559470653533936,0.00016683340072631836
3,2,0.2594912350177765,0.2593208849430084,0.0001703500747680664
5,2,0.21421818435192108,0.21404609084129333,0.00017209351062774658
5,1,0.2128065526485443,0.21263010799884796,0.0001764446496963501
3,2,0.24378304183483124,0.24360433220863342,0.00017870962619781494
2,1,0.35940632224082947,0.3592199683189392,0.0001863539218902588
1,3,0.23886285722255707,0.23861628770828247,0.00024656951427459717
1,2,0.2438812404870987,0.24362759292125702,0.0002536475658416748
3,2,0.2835555970668793,0.2832677662372589,0.00028783082962036133
3,1,0.20760804414749146,0.2073184847831726,0.00028955936431884766
4,3,0.21422062814235687,0.21392908692359924,0.0002915412187576294
5,4,0.2195013463497162,0.21917474269866943,0.00032660365104675293
4,2,0.21903066337108612,0.21867574751377106,0.0003549158573150635
5,2,0.2249639332294464,0.22459197044372559,0.0003719627857208252
5,3,0.2342507541179657,0.23387737572193146,0.0003733783960342407
2,3,0.20750878751277924,0.20713303983211517,0.0003757476806640625
2,3,0.21813854575157166,0.21773046255111694,0.0004080832004547119
